Approach,Train Time,Duration,Num Steps,Num Nodes,Successes
astar_uniform,0,2.958485294,1.95192213,1527.271361,0
lrtdp,0,1.493513365,0,4132.543412,0
rtdp,0,0.401061899,0,703.8268253,0
uct1,0,0.231340684,0,1.562049935,0
uct2,0,0.232285987,0,1.562049935,0
uct3,0,0.596818152,0,1.562049935,0
uct4,0,0.21486131,0,26.49830183,0
uct5,0,0.17368806,0,13.68795091,0
uct6,0,0.750886979,22.5,4.5,0.3
uct4,0,0.370416848,0,13.97998569,0
uct5,0,0.461361511,0,14.84452761,0
uct6,0,0.07252815,0,42.0504459,0